상품id,브랜드,판매가격,품번,상품명,주문일,구매확정일,status_id
960880,xoeinseoul,73500,P00000HR_F,핑크 하트 울 가디건,2024-10-15 11:14:49.199404,2024-10-23 00:00:05.891774,900
960886,xoeinseoul,55200,P00000HQ_L,오트밀 카고 팬츠,2024-10-15 15:02:32.028981,2024-10-25 00:00:05.403611,900
960788,xoeinseoul,31200,P00000HB_BL_M,블랙 H라인 스커트,2024-10-12 19:54:07.000112,2024-10-23 00:00:05.891774,900
960801,xoeinseoul,73500,P00000HS_F,베이지 하트 울 가디건,2024-10-27 14:38:05.057462,2024-11-06 00:00:02.405526,900
960799,xoeinseoul,73500,P00000HS_F,베이지 하트 울 가디건,2024-10-27 21:41:41.258396,2024-11-07 00:00:05.910145,900
960800,xoeinseoul,73500,P00000HS_F,베이지 하트 울 가디건,2024-10-27 20:08:26.120685,2024-11-07 00:00:05.910145,900
960878,xoeinseoul,73500,P00000HR_F,핑크 하트 울 가디건,2024-10-27 21:26:49.711297,2024-11-07 00:00:05.910145,900
960779,xoeinseoul,73500,P00000GV_F,"핑크 리본 블라우스,스커트 SET",2024-10-12 19:10:51.230229,2024-10-23 00:00:05.891774,900
960798,xoeinseoul,73500,P00000HS_F,베이지 하트 울 가디건,2024-10-29 08:57:57.215237,2024-11-07 00:00:05.910145,900
960882,xoeinseoul,55200,P00000HQ_S,오트밀 카고 팬츠,2024-10-12 14:12:29.405303,2024-10-23 00:00:05.891774,900
